Country,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Birth Rate,CPI,CPI Change (%),Currency-Code,Fertility Rate,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Maternal mortality ratio,Minimum wage,Out of pocket health expenditure,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population
Estonia,31,0.23,"45,228",10.9,122.14,0.02,EUR,1.59,31386949981,0.97,0.7,2.1,78.2,9,3.14,0.23,"1,331,824",0.64,0.21,0.48,0.05,"916,024"
Fiji,49,0.23,"18,274",21.28,132.3,0.02,FJD,2.77,5535548972,1.06,0.16,21.6,67.3,34,1.28,0.21,"889,953",0.58,0.24,0.32,0.04,"505,048"
France,119,0.52,"643,801",11.3,110.05,0.01,EUR,1.88,2.71552E+12,1.03,0.66,3.4,82.5,8,11.16,0.07,"67,059,887",0.55,0.24,0.61,0.08,"54,123,364"
Gabon,9,0.2,"267,667",31.61,122.19,0.02,XAF,3.97,16657960228,1.4,0.08,32.7,66.2,252,1.46,0.26,"2,172,579",0.53,0.1,0.47,0.2,"1,949,694"
The Gambia,239,0.6,"11,300",38.54,172.73,0.07,GMD,5.22,1763819048,0.98,0.03,39,61.7,597,0.13,0.2,"2,347,706",0.59,0.09,0.48,0.09,"1,453,958"
Georgia,57,0.35,"69,700",13.47,133.61,0.05,GEL,2.06,17743195770,0.99,0.64,8.7,73.6,25,0.05,0.57,"3,720,382",0.68,0.22,0.1,0.14,"2,196,476"
Germany,240,0.48,"357,022",9.5,112.85,0.01,EUR,1.56,3.84563E+12,1.04,0.7,3.1,80.9,7,9.99,0.13,"83,132,799",0.61,0.12,0.49,0.03,"64,324,835"
Ghana,137,0.69,"238,533",29.41,268.36,0.07,GHS,3.87,66983634224,1.05,0.16,34.9,63.8,308,0.27,0.36,"30,792,608",0.68,0.13,0.55,0.04,"17,249,054"
Greece,81,0.48,"131,957",8.1,101.87,0,EUR,1.35,2.09853E+11,1,1.37,3.6,81.3,3,4.46,0.36,"10,716,322",0.52,0.26,0.52,0.17,"8,507,474"
Guatemala,167,0.36,"108,889",24.56,142.92,0.04,GTQ,2.87,76710385880,1.02,0.22,22.1,74.1,95,1.6,0.56,"16,604,026",0.62,0.11,0.35,0.02,"8,540,945"
Guinea-Bissau,70,0.58,"36,125",35.13,111.65,0.01,XOF,4.48,1340389411,1.19,0.03,54,58,667,0.16,0.37,"1,920,922",0.72,0.1,0.46,0.02,"840,922"
Guyana,4,0.09,"214,969",19.97,116.19,0.02,GYD,2.46,4280443645,0.98,0.12,25.1,69.8,169,0.98,0.41,"782,766",0.56,,0.31,0.12,"208,912"
Haiti,414,0.67,"27,750",24.35,179.29,0.13,HTG,2.94,8498981821,1.14,0.01,49.5,63.7,480,0.25,0.36,"11,263,077",0.67,,0.43,0.14,"6,328,948"
Honduras,89,0.29,"112,090",21.6,150.34,0.04,HNL,2.46,25095395475,0.92,0.26,15.1,75.1,65,1.01,0.49,"9,746,117",0.69,0.17,0.39,0.05,"5,626,433"
Hungary,107,0.58,"93,028",9.6,121.64,0.03,HUF,1.54,1.60967E+11,1.01,0.49,3.6,75.8,12,2.62,0.29,"9,769,949",0.57,0.23,0.38,0.03,"6,999,582"
India,464,0.6,"3,287,263",17.86,180.44,0.08,INR,2.22,2.611E+12,1.13,0.28,29.9,69.4,145,0.3,0.65,"1,366,417,754",0.49,0.11,0.5,0.05,"471,031,528"
Indonesia,151,0.32,"1,904,569",18.07,151.18,0.03,IDR,2.31,1.11919E+12,1.06,0.36,21.1,71.5,177,0.48,0.48,"270,203,917",0.68,0.1,0.3,0.05,"151,509,724"
Iran,52,0.28,"1,648,195",18.78,550.93,0.4,IRR,2.14,4.45345E+11,1.11,0.68,12.4,76.5,16,1.58,0.4,"82,913,906",0.45,0.07,0.45,0.11,"62,509,623"
